name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Natural Ice Cream - Whitefield,Yes,No,3.0/5,4970,Marathahalli,Dhaba,Mughlai,250,Dhaba,Marathahalli
Empire Restaurant - MG Road,No,No,4.2/5,2203,Basavanagudi,Delivery,Rolls,200,Delivery,Basavanagudi
Corner House - JP Nagar,No,No,2.8/5,897,Shivajinagar,Casual Dining,South Indian,650,Casual Dining,Shivajinagar
The Fatty Bao - Whitefield,Yes,No,3.7/5,1869,Indiranagar,Sweet Shop,Gujarati,200,Sweet Shop,Indiranagar
KFC - Indiranagar,Yes,No,3.7/5,151,MG Road,Bakery,North Indian,250,Bakery,MG Road
Wow Momo - Rajajinagar,Yes,Yes,3.8/5,1351,BTM,Delivery,North Indian,300,Delivery,BTM
MTR - BTM,Yes,No,3.9/5,171,Hebbal,Bakery,Bengali,400,Bakery,Hebbal
Toit - Jayanagar,No,No,3.8/5,1429,Sarjapur Road,Quick Bites,Rolls,200,Quick Bites,Sarjapur Road
Vidyarthi Bhavan - Sarjapur Road,Yes,No,2.6/5,4857,KR Puram,Bar,Bengali,400,Bar,KR Puram
Keventers - BTM,No,No,3.7/5,3433,MG Road,Beverage Shop,Gujarati,150,Beverage Shop,MG Road
Burger King - Jayanagar,Yes,Yes,2.7/5,3199,Indiranagar,Mess,Desserts,50,Mess,Indiranagar
KFC - Rajajinagar,No,No,4.1/5,1898,Jayanagar,Bar,Rajasthani,400,Bar,Jayanagar
Vidyarthi Bhavan - Malleshwaram,No,No,3.4/5,1359,Jayanagar,Mess,Gujarati,150,Mess,Jayanagar
Wow Momo - MG Road,Yes,No,2.8/5,692,Jayanagar,Café,Rajasthani,450,Café,Jayanagar
Meghana Foods - Marathahalli,Yes,No,3.4/5,99,Malleshwaram,Bar,Desserts,750,Bar,Malleshwaram
Café Coffee Day - Banashankari,Yes,No,3.6/5,3442,JP Nagar,Casual Dining,Cafe Food,450,Casual Dining,JP Nagar
Kanti Sweets - HSR Layout,Yes,No,NEW,0,Indiranagar,Bar,Italian,350,Bar,Indiranagar
Hotel Suprabhatha - Banashankari,Yes,No,3.9/5,1920,HSR Layout,Food Court,Beverages,200,Food Court,HSR Layout
Byg Brewski - Indiranagar,Yes,No,4.0/5,427,Banashankari,Desserts,Cafe Food,300,Desserts,Banashankari
Rajadhani - Whitefield,Yes,No,4.4/5,586,Yelahanka,Lounge,Desserts,600,Lounge,Yelahanka
Brahmin's Coffee Bar - Yelahanka,Yes,Yes,3.8/5,2967,Marathahalli,Bakery,Cafe Food,200,Bakery,Marathahalli
Keventers - MG Road,Yes,Yes,4.2/5,3204,Jayanagar,Bakery,Fast Food,250,Bakery,Jayanagar
MTR - Malleshwaram,Yes,Yes,4.2/5,255,Yelahanka,Café,South Indian,350,Café,Yelahanka
KFC - Whitefield,Yes,No,3.2/5,1473,Hebbal,Bakery,Beverages,250,Bakery,Hebbal
Rajadhani - Indiranagar,Yes,No,4.6/5,720,Whitefield,Café,Mughlai,300,Café,Whitefield
Burger King - Electronic City,No,No,3.0/5,2000,Malleshwaram,Pub,Gujarati,200,Pub,Malleshwaram
Natural Ice Cream - Shivajinagar,Yes,No,4.3/5,3007,KR Puram,Mess,Pizza,100,Mess,KR Puram
Nandhini Hotel - Basavanagudi,Yes,Yes,3.1/5,2627,Indiranagar,Fine Dining,Street Food,1100,Fine Dining,Indiranagar
Dindigul Thalappakatti - Indiranagar,Yes,Yes,4.2/5,4502,Malleshwaram,Dhaba,Biryani,200,Dhaba,Malleshwaram
MTR - JP Nagar,Yes,No,4.8/5,2289,BTM,Desserts,Mughlai,350,Desserts,BTM
Sri Sairam Vegetarian - Indiranagar,Yes,No,3.7/5,4210,Jayanagar,Sweet Shop,Italian,150,Sweet Shop,Jayanagar
Vidyarthi Bhavan - Whitefield,Yes,Yes,3.7/5,1731,Marathahalli,Casual Dining,Desserts,350,Casual Dining,Marathahalli
Rajadhani - MG Road,Yes,Yes,4.2/5,4901,Whitefield,Quick Bites,Rolls,150,Quick Bites,Whitefield
Third Wave Coffee - Yelahanka,No,No,3.5/5,2177,Indiranagar,Café,Desserts,250,Café,Indiranagar
Barbeque Nation - Yelahanka,No,No,4.6/5,1580,Shivajinagar,Mess,Beverages,100,Mess,Shivajinagar
Brahmin's Coffee Bar - Jayanagar,No,Yes,3.8/5,3226,Marathahalli,Bakery,Continental,250,Bakery,Marathahalli
Kanti Sweets - Indiranagar,Yes,No,3.7/5,993,BTM,Desserts,Gujarati,350,Desserts,BTM
Keventers - Marathahalli,Yes,No,NEW,0,Hebbal,Fine Dining,Fast Food,850,Fine Dining,Hebbal
KFC - JP Nagar,No,No,3.2/5,4590,Whitefield,Dhaba,Mughlai,150,Dhaba,Whitefield
Barbeque Nation - Malleshwaram,Yes,No,3.5/5,1852,JP Nagar,Pub,North Indian,450,Pub,JP Nagar
Rajadhani - MG Road,Yes,Yes,3.7/5,81,Rajajinagar,Casual Dining,Cafe Food,650,Casual Dining,Rajajinagar
Natural Ice Cream - KR Puram,Yes,No,3.6/5,3850,JP Nagar,Sweet Shop,Rolls,200,Sweet Shop,JP Nagar
Vidyarthi Bhavan - Banashankari,Yes,No,3.5/5,3012,Sarjapur Road,Dhaba,Italian,300,Dhaba,Sarjapur Road
Truffles - JP Nagar,No,No,4.7/5,2716,Banashankari,Fine Dining,Gujarati,800,Fine Dining,Banashankari
